"I" "intervl_base"
"1" 0.5 0.58
"2" 0.6 0.58
"3" 0.7 0.484100000000011
"4" 0.8 0.358000000000024
"5" 0.9 0.292200000000032
"6" 1 0.248400000000036
"7" 1.1 0.223600000000039
"8" 1.2 0.195500000000042
"9" 1.3 0.176400000000044
"10" 1.4 0.161900000000046
"11" 1.5 0.148200000000048
"12" 1.6 0.137800000000049
"13" 1.7 0.12780000000005
"14" 1.8 0.12070000000005
"15" 1.9 0.11320000000005
"16" 2 0.10740000000005
"17" 2.1 0.102400000000049
"18" 2.2 0.0973000000000493
"19" 2.3 0.0923000000000491
"20" 2.4 0.088500000000049
"21" 2.5 0.0848000000000489
"22" 2.6 0.0820000000000488
"23" 2.7 0.0782000000000487
"24" 2.8 0.0748000000000486
"25" 2.9 0.0720000000000486
"26" 3 0.0692000000000485
"27" 3.1 0.0668000000000484
"28" 3.2 0.0647000000000483
"29" 3.3 0.0625000000000483
"30" 3.4 0.0612000000000482
"31" 3.5 0.0590000000000482
"32" 3.6 0.0567000000000481
"33" 3.7 0.0552000000000481
"34" 3.8 0.053600000000048
"35" 3.9 0.051900000000048
"36" 4 0.0506000000000479
"37" 4.1 0.0496000000000479
"38" 4.2 0.0480000000000479
"39" 4.3 0.0466000000000478
"40" 4.4 0.0459000000000478
"41" 4.5 0.0439000000000477
"42" 4.6 0.0432000000000477
"43" 4.7 0.0421000000000477
"44" 4.8 0.0409000000000477
"45" 4.9 0.0400000000000476
"46" 5 0.0385000000000476
"47" 5.1 0.0379000000000476
"48" 5.2 0.0373000000000476
"49" 5.3 0.0362000000000475
"50" 5.4 0.0352000000000475
"51" 5.5 0.0345000000000475
"52" 5.6 0.0336000000000475
"53" 5.7 0.0330000000000474
"54" 5.8 0.0322000000000474
"55" 5.9 0.0317000000000474
"56" 6 0.0311000000000474
"57" 6.1 0.0299000000000474
"58" 6.2 0.0295000000000474
"59" 6.3 0.0285000000000474
"60" 6.4 0.0278000000000474
"61" 6.5 0.0271000000000474
"62" 6.6 0.0269000000000474
"63" 6.7 0.0257000000000474
"64" 6.8 0.0257000000000474
"65" 6.9 0.0249000000000474
"66" 7 0.0242000000000474
"67" 7.1 0.0235000000000474
"68" 7.2 0.0233000000000474
"69" 7.3 0.0228000000000474
"70" 7.4 0.0217000000000474
"71" 7.5 0.0216000000000474
"72" 7.6 0.0216000000000474
"73" 7.7 0.0207000000000475
"74" 7.8 0.0198000000000475
"75" 7.9 0.0192000000000475
"76" 8 0.0189000000000475
"77" 8.1 0.0183000000000475
"78" 8.2 0.0178000000000475
"79" 8.3 0.0172000000000475
"80" 8.4 0.0167000000000475
"81" 8.5 0.0159000000000475
"82" 8.6 0.0159000000000475
"83" 8.7 0.0146000000000475
"84" 8.8 0.0144000000000475
"85" 8.9 0.0142000000000475
"86" 9 0.0132000000000475
